Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15pF,
"C10, C11, C12, C13, C16, C17, C19, C24, C4, C5, C6, C7, C8",0402,13,100nF,
"C14, C15",0402,2,18pF,
"C18, C22",0402,2,10uF,
"C20, C21, C3, C9",0402,4,1uF,
"C23, C25",1206,2,47uF,
CR1,SOT-23-6,1,USBLC6-2SC6,
D1,0603,1,LTST-C190KSKT,
D2,0603,1,LTST-S270KRKT,
J1,GCT_USB4110GFA,1,USB4110GFA,
J6,HARWIN_M55-7101242R,1,M55-7101242R,
J7,CUI_MSD-1-A,1,MSD-1-A,
J8,PinSocket_1x17_P2.54mm_Vertical,1,Conn_01x17_Pin,
"R1, R6",0402,2,5.1k,
R10,0402,1,120,
"R11, R3, R7",0402,3,10k,
"R2, R4",0402,2,27.4,
"R5, R8, R9",0402,3,1k,
"SW1, SW2",SW_TL1015AF160QG,2,SW_Push,
TP1,TestPoint_Pad_D1.0mm,1,1.2V,
TP2,TestPoint_Pad_D1.0mm,1,GND,
TP3,TestPoint_Pad_D1.0mm,1,3.3V,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC_128JVSIM_WIN,1,W25Q128JVSIM,
U3,SON65P450X300X90-15N,1,MCP2518FDT-E_QBB,
U4,SOT65P280X145-8N,1,TCAN332DCNR,
U5,SOT-23-5,1,TLV75533PDBVR,
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,
Y2,XTAL_ABM8-272-T3,1,ABM8-20.000MHZ-10-B1U-T,
