Designator,Mid X,Mid Y,Rotation,Layer
C1,131.67,-62.13,0.0,top
C10,131.34,-58.3075,0.0,top
C11,137.7175,-63.5025,90.0,top
C12,149.03,-47.73,0.0,top
C13,143.655,-58.36,180.0,top
C14,121.31,-46.55,180.0,top
C15,119.54,-40.5,180.0,top
C16,130.39,-45.54,180.0,top
C17,130.94,-40.11,180.0,top
C18,149.045,-46.58,0.0,top
C19,123.51,-36.03,270.0,top
C2,136.06,-66.22,0.0,top
C20,149.04,-45.37,0.0,top
C21,147.59,-37.2625,270.0,top
C22,148.89,-37.26,90.0,top
C23,134.45,-45.62,180.0,top
C24,143.62,-64.15,180.0,top
C25,144.61,-45.63,0.0,top
C3,141.19,-50.89,90.0,top
C4,138.8375,-63.5325,270.0,top
C5,136.5,-50.89,270.0,top
C6,137.59,-50.8925,270.0,top
C7,143.6475,-53.33,180.0,top
C8,131.32,-54.74,0.0,top
C9,142.36,-50.9,270.0,top
CR1,149.1225,-50.46,0.0,top
D1,123.2575,-68.41,180.0,bottom
D2,123.2325,-71.6,180.0,bottom
J1,155.2275,-47.06,90.0,top
J6,139.3475,-39.83,180.0,top
J7,154.31,-63.19,90.0,top
J8,139.39,-75.945,90.0,top
R1,149.17,-53.51,180.0,top
R10,130.91,-36.35,270.0,top
R11,143.59,-62.9,180.0,top
R2,140.07,-50.92,270.0,top
R3,119.98,-64.57,0.0,top
R4,138.95,-50.91,270.0,top
R5,135.61,-64.31,270.0,top
R6,156.23,-39.86,180.0,top
R7,120.15,-48.4,180.0,top
R8,127.0025,-68.51,0.0,bottom
R9,126.9525,-71.57,0.0,bottom
SW1,119.61,-59.4,90.0,top
SW2,119.61,-52.32,90.0,top
U1,137.36,-57.31,90.0,top
U2,128.38,-51.19,45.0,top
U3,127.05,-42.32,0.0,top
U4,127.225,-36.075,0.0,top
U5,148.27,-41.56,270.0,top
Y1,133.105,-65.01,0.0,top
Y2,120.965,-43.58,180.0,top
